ID,Nacionalidad,Tipo de Sonido,Jugadores,Fichas,Salon,Juego
446,Germany,ESTEREO,4,272,Salon VR,Bubble Bobble
458,China,MONO,4,696,Salon VR,Bubble Bobble
472,Iran,MONO,5,386,Salon 2,Bubble Bobble
499,South Africa,ESTEREO,1,966,Salon 5,Bubble Bobble
38,Philippines,MONO,2,374,Salon 5,Castelvania
65,Indonesia,MONO,4,520,Salon 1,Castelvania
80,Czech Republic,MONO,4,770,Salon Carreras,Castelvania
85,China,MONO,2,296,Salon 2021,Castelvania
103,China,MONO,3,464,Salon VR,Castelvania
114,Chile,ESTEREO,5,564,Salon 6,Castelvania
126,Bolivia,MONO,5,782,Salon 2021,Castelvania
155,China,MONO,3,794,Salon 6,Castelvania
183,Japan,MONO,2,568,Salon 4,Castelvania
198,Panama,ESTEREO,4,566,Salon Retro,Castelvania
212,Portugal,MONO,1,974,Salon VR,Castelvania
222,Russia,MONO,1,432,Salon 1,Castelvania
248,United States,MONO,4,608,Salon 1,Castelvania
267,Mozambique,MONO,3,828,Salon VR,Castelvania
299,China,MONO,3,226,Salon 4,Castelvania
312,Indonesia,ESTEREO,2,436,Salon 6,Castelvania
322,Greece,MONO,5,286,Salon VR,Castelvania
342,Indonesia,ESTEREO,1,698,Salon 3,Castelvania
343,Albania,MONO,2,750,Salon 6,Castelvania
349,Russia,ESTEREO,3,742,Salon VR,Castelvania
350,China,ESTEREO,2,494,Salon 5,Castelvania
366,United States,ESTEREO,1,978,Salon 1,Castelvania
403,Czech Republic,MONO,5,336,Salon Carreras,Castelvania
418,Russia,MONO,3,300,Salon Retro,Castelvania
435,China,MONO,3,680,Salon 4,Castelvania
452,China,MONO,1,894,Salon Retro,Castelvania
485,France,MONO,4,284,Salon Carreras,Castelvania
493,Chad,MONO,5,372,Salon VR,Castelvania
29,Mauritius,ESTEREO,4,786,Salon 1,Double Dragon
49,Colombia,MONO,1,260,Salon 2021,Double Dragon
153,China,MONO,1,292,Salon 1,Double Dragon
170,Brazil,MONO,1,926,Salon 5,Double Dragon
194,France,MONO,1,254,Salon 4,Double Dragon
214,Indonesia,MONO,5,988,Salon VR,Double Dragon
234,Pakistan,ESTEREO,1,756,Salon 3,Double Dragon
249,Greece,ESTEREO,2,690,Salon VR,Double Dragon
258,Indonesia,MONO,2,464,Salon 2021,Double Dragon
276,Indonesia,ESTEREO,2,446,Salon 2021,Double Dragon
315,Czech Republic,MONO,3,220,Salon Carreras,Double Dragon
327,Greece,ESTEREO,2,344,Salon 3,Double Dragon
328,Brazil,ESTEREO,3,270,Salon 1,Double Dragon
329,Albania,MONO,3,772,Salon 3,Double Dragon
367,China,MONO,2,762,Salon 3,Double Dragon
376,Martinique,ESTEREO,5,774,Salon 4,Double Dragon
382,Peru,MONO,2,982,Salon 2,Double Dragon
383,Indonesia,MONO,5,912,Salon VR,Double Dragon
384,Japan,ESTEREO,2,268,Salon VR,Double Dragon
396,China,MONO,4,878,Salon Carreras,Double Dragon
397,Philippines,MONO,2,288,Salon 4,Double Dragon
399,Indonesia,MONO,1,226,Salon 2,Double Dragon
404,Indonesia,ESTEREO,4,702,Salon 3,Double Dragon
405,Indonesia,MONO,5,788,Salon Retro,Double Dragon
410,Russia,ESTEREO,5,322,Salon 3,Double Dragon
425,Poland,ESTEREO,4,576,Salon 4,Double Dragon
427,China,ESTEREO,5,332,Salon 2021,Double Dragon
487,China,MONO,4,472,Salon 2021,Double Dragon
491,Russia,ESTEREO,1,362,Salon VR,Double Dragon
500,Morocco,MONO,4,654,Salon VR,Double Dragon
12,Portugal,ESTEREO,1,952,Salon 6,Frogger
123,Nigeria,ESTEREO,5,780,Salon Retro,Frogger
142,France,MONO,5,988,Salon 2021,Frogger
156,Nepal,MONO,5,434,Salon 2021,Frogger
215,China,MONO,1,622,Salon VR,Frogger
221,China,ESTEREO,2,878,Salon 3,Frogger
237,China,ESTEREO,1,362,Salon 2,Frogger
239,Brazil,MONO,2,422,Salon 6,Frogger
246,France,ESTEREO,1,474,Salon 2,Frogger
250,China,ESTEREO,3,670,Salon 3,Frogger
257,Russia,MONO,2,574,Salon 2021,Frogger
280,Russia,MONO,3,908,Salon VR,Frogger
285,Thailand,ESTEREO,3,520,Salon 4,Frogger
289,Sweden,MONO,2,454,Salon 3,Frogger
292,China,MONO,4,308,Salon VR,Frogger
300,China,MONO,1,858,Salon 2,Frogger
303,Mexico,ESTEREO,5,394,Salon 3,Frogger
310,China,ESTEREO,3,290,Salon Retro,Frogger
355,Portugal,MONO,4,348,Salon 2,Frogger
389,Indonesia,ESTEREO,4,294,Salon 2021,Frogger
390,Liberia,MONO,3,446,Salon 6,Frogger
432,Ukraine,ESTEREO,5,946,Salon 3,Frogger
467,Czech Republic,MONO,1,994,Salon 2,Frogger
39,China,ESTEREO,3,784,Salon 2021,Galaga
48,Indonesia,MONO,3,744,Salon 1,Galaga
55,Iran,MONO,2,938,Salon VR,Galaga
70,Albania,ESTEREO,4,752,Salon VR,Galaga
78,Colombia,ESTEREO,3,454,Salon 1,Galaga
86,Philippines,MONO,1,706,Salon 6,Galaga
160,Malaysia,ESTEREO,5,884,Salon 2,Galaga
182,Sweden,MONO,1,216,Salon 6,Galaga
217,Portugal,ESTEREO,2,1000,Salon Carreras,Galaga
219,China,MONO,1,734,Salon 2021,Galaga
247,Iran,MONO,5,954,Salon Carreras,Galaga
279,Thailand,MONO,3,528,Salon Retro,Galaga
306,Nicaragua,ESTEREO,5,244,Salon 2,Galaga
309,China,ESTEREO,1,310,Salon Retro,Galaga
318,Argentina,ESTEREO,1,446,Salon 2,Galaga
346,Malaysia,ESTEREO,4,802,Salon VR,Galaga
363,Philippines,MONO,2,662,Salon 2,Galaga
379,Canada,MONO,4,200,Salon 2,Galaga
402,Philippines,ESTEREO,4,244,Salon 6,Galaga
416,South Africa,ESTEREO,2,576,Salon 1,Galaga
419,Portugal,ESTEREO,5,262,Salon 4,Galaga
423,Indonesia,ESTEREO,2,436,Salon 6,Galaga
445,Canada,ESTEREO,4,806,Salon 4,Galaga
449,China,MONO,5,952,Salon 4,Galaga
451,Finland,ESTEREO,4,670,Salon 2021,Galaga
460,Poland,MONO,5,576,Salon 2,Galaga
484,China,MONO,1,888,Salon VR,Galaga
498,Mozambique,MONO,4,718,Salon 2021,Galaga
501,RUSIA,MONO,5,800,Saco,Los Increibles III
1,China,ESTEREO,1,730,Salon 2021,Metal Slug
14,Indonesia,ESTEREO,2,694,Salon Carreras,Metal Slug
16,Russia,MONO,1,612,Salon VR,Metal Slug
43,Philippines,ESTEREO,5,992,Salon 5,Metal Slug
72,Ecuador,ESTEREO,3,338,Salon Carreras,Metal Slug
74,Sri Lanka,ESTEREO,2,614,Salon Carreras,Metal Slug
102,Indonesia,MONO,3,310,Salon 2,Metal Slug
110,Indonesia,ESTEREO,4,478,Salon 1,Metal Slug
128,China,ESTEREO,5,916,Salon 6,Metal Slug
139,Czech Republic,ESTEREO,3,272,Salon VR,Metal Slug
159,Ethiopia,ESTEREO,1,582,Salon 3,Metal Slug
171,Paraguay,MONO,5,622,Salon 2,Metal Slug
175,Poland,MONO,5,270,Salon VR,Metal Slug
199,Panama,ESTEREO,5,486,Salon 2,Metal Slug
225,China,MONO,4,330,Salon 1,Metal Slug
226,Philippines,MONO,4,816,Salon Retro,Metal Slug
228,Indonesia,ESTEREO,3,454,Salon Retro,Metal Slug
231,China,MONO,3,970,Salon 3,Metal Slug
261,Ireland,ESTEREO,4,950,Salon 1,Metal Slug
337,Portugal,ESTEREO,1,816,Salon 5,Metal Slug
354,China,ESTEREO,3,724,Salon 2,Metal Slug
368,China,MONO,5,308,Salon 4,Metal Slug
443,Sweden,ESTEREO,2,708,Salon Retro,Metal Slug
2,China,ESTEREO,1,560,Salon 2,Mortal Kombat
4,United States,ESTEREO,3,630,Salon 6,Mortal Kombat
6,Indonesia,ESTEREO,2,962,Salon Retro,Mortal Kombat
53,Indonesia,ESTEREO,4,884,Salon 3,Mortal Kombat
63,Bangladesh,ESTEREO,1,678,Salon 4,Mortal Kombat
89,Bahrain,MONO,1,352,Salon 1,Mortal Kombat
116,Poland,MONO,3,346,Salon 6,Mortal Kombat
140,Armenia,ESTEREO,4,792,Salon 1,Mortal Kombat
143,China,MONO,5,666,Salon 2021,Mortal Kombat
147,United States,MONO,2,842,Salon 2,Mortal Kombat
181,United States,MONO,5,712,Salon 1,Mortal Kombat
203,France,ESTEREO,4,410,Salon 2021,Mortal Kombat
218,Russia,MONO,5,504,Salon 1,Mortal Kombat
223,Ecuador,ESTEREO,3,552,Salon 2,Mortal Kombat
227,Russia,ESTEREO,5,682,Salon 1,Mortal Kombat
245,Ivory Coast,ESTEREO,3,526,Salon Retro,Mortal Kombat
269,Venezuela,ESTEREO,2,698,Salon 6,Mortal Kombat
287,Philippines,ESTEREO,1,286,Salon Retro,Mortal Kombat
323,China,ESTEREO,5,950,Salon 2021,Mortal Kombat
325,China,ESTEREO,1,354,Salon 2,Mortal Kombat
336,Belarus,ESTEREO,1,658,Salon 6,Mortal Kombat
381,Indonesia,ESTEREO,2,902,Salon 3,Mortal Kombat
406,Philippines,MONO,2,812,Salon 3,Mortal Kombat
454,Russia,MONO,5,780,Salon 4,Mortal Kombat
463,China,MONO,2,958,Salon 2021,Mortal Kombat
479,Indonesia,ESTEREO,3,296,Salon 4,Mortal Kombat
490,Philippines,ESTEREO,5,384,Salon Retro,Mortal Kombat
9,Russia,MONO,5,996,Salon 2021,Out Run
15,Sweden,ESTEREO,3,868,Salon 3,Out Run
17,Madagascar,MONO,1,666,Salon 6,Out Run
27,Cuba,MONO,3,392,Salon VR,Out Run
56,Philippines,MONO,1,778,Salon 3,Out Run
60,Uruguay,ESTEREO,2,760,Salon 6,Out Run
71,Micronesia,ESTEREO,5,830,Salon VR,Out Run
75,Argentina,MONO,3,356,Salon 1,Out Run
76,China,ESTEREO,4,282,Salon 2021,Out Run
88,Philippines,ESTEREO,1,474,Salon Carreras,Out Run
96,China,MONO,1,776,Salon Carreras,Out Run
106,Philippines,MONO,1,248,Salon 2,Out Run
119,China,ESTEREO,5,948,Salon 2021,Out Run
132,Argentina,ESTEREO,2,872,Salon 2021,Out Run
134,Czech Republic,MONO,1,960,Salon Retro,Out Run
137,France,MONO,4,578,Salon 6,Out Run
138,Indonesia,MONO,4,302,Salon 3,Out Run
152,Argentina,ESTEREO,3,306,Salon VR,Out Run
157,Estonia,MONO,2,602,Salon 2,Out Run
167,Brazil,MONO,1,674,Salon 2,Out Run
169,Philippines,ESTEREO,5,376,Salon 4,Out Run
191,Zimbabwe,ESTEREO,5,918,Salon 3,Out Run
207,China,MONO,4,910,Salon 5,Out Run
259,China,ESTEREO,2,322,Salon VR,Out Run
283,Greece,MONO,2,258,Salon 1,Out Run
288,Palestinian Territory,ESTEREO,4,824,Salon Retro,Out Run
291,Brazil,ESTEREO,1,234,Salon 4,Out Run
311,Finland,ESTEREO,5,270,Salon 5,Out Run
333,China,MONO,4,622,Salon 2021,Out Run
377,China,ESTEREO,2,422,Salon Retro,Out Run
395,Indonesia,MONO,3,396,Salon 6,Out Run
401,Germany,ESTEREO,2,974,Salon 3,Out Run
441,Nauru,ESTEREO,2,898,Salon 3,Out Run
453,Brazil,MONO,1,282,Salon 3,Out Run
478,China,MONO,1,558,Salon 3,Out Run
497,China,MONO,1,448,Salon Carreras,Out Run
32,Afghanistan,ESTEREO,3,232,Salon 3,Pacman
34,Russia,ESTEREO,5,602,Salon 6,Pacman
62,China,ESTEREO,5,908,Salon 1,Pacman
79,China,MONO,4,720,Salon 6,Pacman
113,China,ESTEREO,3,218,Salon 2021,Pacman
120,Mexico,ESTEREO,5,670,Salon VR,Pacman
144,Chile,ESTEREO,1,214,Salon 5,Pacman
154,Indonesia,MONO,2,664,Salon 2021,Pacman
177,French Guiana,ESTEREO,4,368,Salon 1,Pacman
193,Poland,ESTEREO,1,300,Salon 1,Pacman
196,Iran,MONO,5,388,Salon 3,Pacman
200,China,ESTEREO,2,760,Salon 1,Pacman
202,Afghanistan,ESTEREO,2,934,Salon Carreras,Pacman
204,Brazil,ESTEREO,2,226,Salon 6,Pacman
232,Dominica,ESTEREO,2,772,Salon Retro,Pacman
238,United States,ESTEREO,1,302,Salon 4,Pacman
256,Mauritius,MONO,3,246,Salon 1,Pacman
290,Mongolia,ESTEREO,1,498,Salon 5,Pacman
298,Russia,ESTEREO,1,826,Salon VR,Pacman
319,France,ESTEREO,3,590,Salon 2,Pacman
334,China,ESTEREO,1,708,Salon 3,Pacman
339,France,ESTEREO,2,524,Salon 2021,Pacman
361,China,ESTEREO,5,702,Salon 4,Pacman
414,Chile,MONO,2,338,Salon Carreras,Pacman
429,China,ESTEREO,4,380,Salon 3,Pacman
444,Indonesia,MONO,2,268,Salon 5,Pacman
447,China,MONO,5,662,Salon 6,Pacman
448,Russia,ESTEREO,3,442,Salon 5,Pacman
456,Brazil,MONO,4,238,Salon Carreras,Pacman
457,Lithuania,MONO,3,422,Salon 4,Pacman
470,Nigeria,MONO,2,800,Salon 2,Pacman
477,Albania,MONO,4,200,Salon 3,Pacman
20,Brazil,MONO,3,686,Salon 3,Pong
37,Indonesia,ESTEREO,5,478,Salon Retro,Pong
40,Greece,MONO,5,446,Salon 4,Pong
41,Ireland,MONO,4,840,Salon Carreras,Pong
51,Uganda,MONO,3,606,Salon 5,Pong
107,Mexico,ESTEREO,4,944,Salon 5,Pong
135,China,ESTEREO,3,534,Salon 2,Pong
146,Slovenia,MONO,5,354,Salon 3,Pong
158,France,ESTEREO,1,846,Salon 4,Pong
161,Czech Republic,ESTEREO,2,442,Salon Carreras,Pong
211,Hungary,MONO,2,710,Salon 2,Pong
233,Azerbaijan,ESTEREO,5,418,Salon 3,Pong
244,China,ESTEREO,4,350,Salon 6,Pong
255,Japan,ESTEREO,3,764,Salon Carreras,Pong
296,Sweden,ESTEREO,2,240,Salon Carreras,Pong
302,Bangladesh,ESTEREO,3,752,Salon 2021,Pong
340,Japan,MONO,2,454,Salon 4,Pong
347,Brazil,ESTEREO,3,756,Salon Carreras,Pong
356,Germany,MONO,5,998,Salon VR,Pong
360,China,ESTEREO,4,476,Salon VR,Pong
412,Ecuador,ESTEREO,3,476,Salon 4,Pong
436,Bangladesh,MONO,3,790,Salon VR,Pong
494,Poland,ESTEREO,1,634,Salon Retro,Pong
496,Mexico,MONO,4,268,Salon 4,Pong
8,Japan,MONO,2,792,Salon 1,Space Invaders
11,China,MONO,4,556,Salon Carreras,Space Invaders
23,Belarus,ESTEREO,2,830,Salon 3,Space Invaders
52,Paraguay,MONO,2,214,Salon 5,Space Invaders
66,Brazil,MONO,1,550,Salon 2,Space Invaders
105,Philippines,ESTEREO,3,426,Salon Carreras,Space Invaders
112,China,ESTEREO,5,888,Salon Retro,Space Invaders
189,Ukraine,MONO,4,266,Salon 2021,Space Invaders
201,China,MONO,1,542,Salon 2,Space Invaders
235,China,MONO,4,672,Salon Retro,Space Invaders
252,China,MONO,5,816,Salon 4,Space Invaders
268,Brazil,ESTEREO,2,202,Salon 2021,Space Invaders
348,South Africa,ESTEREO,3,956,Salon VR,Space Invaders
392,Peru,ESTEREO,5,240,Salon 3,Space Invaders
400,China,MONO,2,552,Salon 2,Space Invaders
424,Russia,MONO,5,844,Salon 1,Space Invaders
433,China,MONO,5,232,Salon Retro,Space Invaders
450,Libya,ESTEREO,2,882,Salon 3,Space Invaders
459,Switzerland,ESTEREO,1,620,Salon 5,Space Invaders
466,Czech Republic,MONO,5,264,Salon 1,Space Invaders
468,China,ESTEREO,5,740,Salon 6,Space Invaders
473,Indonesia,ESTEREO,1,972,Salon VR,Space Invaders
475,Philippines,MONO,2,538,Salon 4,Space Invaders
46,China,ESTEREO,4,912,Salon 5,Star Wars
84,Honduras,MONO,5,778,Salon 3,Star Wars
90,Morocco,MONO,1,618,Salon 6,Star Wars
92,Sweden,ESTEREO,2,720,Salon 3,Star Wars
98,Indonesia,ESTEREO,3,958,Salon 2,Star Wars
109,Bulgaria,ESTEREO,3,568,Salon 6,Star Wars
121,New Caledonia,ESTEREO,2,586,Salon Retro,Star Wars
127,Peru,ESTEREO,3,822,Salon VR,Star Wars
149,Philippines,ESTEREO,2,300,Salon 1,Star Wars
150,Philippines,ESTEREO,3,534,Salon Carreras,Star Wars
209,Luxembourg,MONO,2,424,Salon 6,Star Wars
263,Philippines,MONO,1,942,Salon Carreras,Star Wars
265,China,MONO,3,338,Salon 1,Star Wars
272,China,ESTEREO,4,482,Salon Carreras,Star Wars
277,Peru,MONO,5,980,Salon 5,Star Wars
301,Guatemala,MONO,2,926,Salon 2021,Star Wars
330,Philippines,MONO,4,624,Salon 2021,Star Wars
374,Saudi Arabia,ESTEREO,5,452,Salon 4,Star Wars
388,Philippines,ESTEREO,2,224,Salon 2,Star Wars
437,China,ESTEREO,3,626,Salon 1,Star Wars
440,Burundi,ESTEREO,1,530,Salon 2,Star Wars
471,Philippines,ESTEREO,4,956,Salon VR,Star Wars
480,Indonesia,MONO,3,452,Salon 6,Star Wars
489,Azerbaijan,ESTEREO,2,946,Salon 2021,Star Wars
33,China,ESTEREO,1,812,Salon 3,Street Fighter II
35,Indonesia,ESTEREO,4,414,Salon Retro,Street Fighter II
91,Indonesia,ESTEREO,4,866,Salon Retro,Street Fighter II
100,China,ESTEREO,5,426,Salon 3,Street Fighter II
141,Guatemala,ESTEREO,3,792,Salon 2,Street Fighter II
145,Russia,MONO,5,708,Salon 3,Street Fighter II
172,China,MONO,4,832,Salon 2,Street Fighter II
176,Canada,ESTEREO,3,802,Salon Carreras,Street Fighter II
208,Georgia,MONO,1,940,Salon 1,Street Fighter II
229,New Caledonia,ESTEREO,1,756,Salon Carreras,Street Fighter II
260,Slovenia,ESTEREO,3,988,Salon Carreras,Street Fighter II
264,Argentina,ESTEREO,2,578,Salon 2021,Street Fighter II
271,Mauritania,ESTEREO,1,528,Salon 2021,Street Fighter II
278,China,MONO,1,500,Salon 6,Street Fighter II
295,Dominican Republic,MONO,5,686,Salon 5,Street Fighter II
304,Tunisia,MONO,1,468,Salon 5,Street Fighter II
317,Indonesia,ESTEREO,3,472,Salon 2021,Street Fighter II
332,Russia,MONO,2,510,Salon 3,Street Fighter II
338,Brazil,MONO,3,524,Salon VR,Street Fighter II
352,Ukraine,MONO,2,518,Salon Retro,Street Fighter II
364,Brazil,ESTEREO,1,812,Salon Carreras,Street Fighter II
375,Brazil,MONO,2,204,Salon 3,Street Fighter II
378,China,ESTEREO,1,980,Salon 5,Street Fighter II
386,Iran,ESTEREO,4,240,Salon 6,Street Fighter II
387,China,ESTEREO,2,802,Salon 3,Street Fighter II
428,Indonesia,MONO,5,396,Salon 2,Street Fighter II
431,China,MONO,5,514,Salon Retro,Street Fighter II
476,China,MONO,2,260,Salon 3,Street Fighter II
5,China,ESTEREO,5,886,Salon 3,Tetris
44,Russia,MONO,5,302,Salon Carreras,Tetris
57,Madagascar,MONO,3,824,Salon 5,Tetris
59,Philippines,ESTEREO,4,606,Salon Carreras,Tetris
67,Colombia,ESTEREO,1,272,Salon 6,Tetris
81,Russia,ESTEREO,3,552,Salon Retro,Tetris
97,Portugal,MONO,2,314,Salon 2,Tetris
151,Thailand,MONO,4,218,Salon 5,Tetris
162,Indonesia,ESTEREO,1,380,Salon VR,Tetris
164,China,ESTEREO,4,744,Salon 3,Tetris
173,Ukraine,ESTEREO,3,936,Salon 4,Tetris
180,Haiti,MONO,3,732,Salon Retro,Tetris
186,Russia,MONO,3,784,Salon VR,Tetris
220,China,MONO,3,552,Salon 5,Tetris
230,Serbia,MONO,3,598,Salon 2,Tetris
241,China,MONO,1,714,Salon 3,Tetris
308,Canada,ESTEREO,2,370,Salon 2,Tetris
313,Nigeria,MONO,1,896,Salon 3,Tetris
321,Indonesia,ESTEREO,4,808,Salon 3,Tetris
351,Poland,MONO,1,860,Salon 1,Tetris
370,Kosovo,MONO,4,662,Salon 4,Tetris
398,China,MONO,1,660,Salon 2,Tetris
408,Russia,ESTEREO,4,402,Salon Retro,Tetris
413,China,MONO,1,772,Salon 6,Tetris
417,China,MONO,3,234,Salon 5,Tetris
421,Philippines,MONO,1,660,Salon 4,Tetris
430,Brazil,MONO,4,884,Salon 2,Tetris
455,China,MONO,2,768,Salon 4,Tetris
461,Indonesia,MONO,2,296,Salon 6,Tetris
462,Yemen,ESTEREO,5,744,Salon 4,Tetris
464,China,ESTEREO,4,464,Salon 2021,Tetris
465,Uganda,MONO,3,658,Salon 1,Tetris
469,Iran,ESTEREO,5,932,Salon Retro,Tetris
483,Afghanistan,MONO,4,662,Salon 6,Tetris
495,Brazil,ESTEREO,5,300,Salon 3,Tetris
13,Philippines,MONO,5,248,Salon Retro,Tron
21,China,MONO,1,450,Salon 2,Tron
31,Kazakhstan,MONO,3,618,Salon 3,Tron
42,Greece,MONO,1,590,Salon 5,Tron
61,Ireland,MONO,3,394,Salon 1,Tron
69,Russia,MONO,5,226,Salon 1,Tron
104,Portugal,ESTEREO,3,602,Salon 3,Tron
117,Japan,MONO,5,974,Salon Carreras,Tron
133,Ukraine,ESTEREO,2,822,Salon 2021,Tron
148,Japan,ESTEREO,2,338,Salon 2021,Tron
185,Brazil,ESTEREO,3,552,Salon 2,Tron
210,Mongolia,MONO,5,720,Salon VR,Tron
213,United States,MONO,2,698,Salon 1,Tron
224,Colombia,MONO,1,226,Salon 1,Tron
243,Indonesia,ESTEREO,2,702,Salon Retro,Tron
273,China,MONO,5,342,Salon 1,Tron
294,Indonesia,ESTEREO,4,926,Salon Carreras,Tron
324,Namibia,ESTEREO,4,416,Salon 2,Tron
344,Dominican Republic,MONO,3,872,Salon 2,Tron
359,Ireland,MONO,4,668,Salon VR,Tron
411,China,ESTEREO,2,858,Salon 3,Tron
434,Mauritania,MONO,5,802,Salon Carreras,Tron
438,Pakistan,ESTEREO,2,388,Salon 4,Tron
481,Indonesia,MONO,5,976,Salon Retro,Tron
10,Indonesia,ESTEREO,2,640,Salon 2021,Virtua Cop
18,Sweden,MONO,2,760,Salon 2021,Virtua Cop
19,Ethiopia,MONO,2,210,Salon 6,Virtua Cop
24,Sri Lanka,ESTEREO,5,666,Salon 1,Virtua Cop
45,Indonesia,ESTEREO,3,630,Salon 6,Virtua Cop
47,China,ESTEREO,1,968,Salon 2,Virtua Cop
54,Greece,MONO,2,908,Salon 2021,Virtua Cop
64,Japan,MONO,3,520,Salon 2,Virtua Cop
68,Indonesia,ESTEREO,1,778,Salon Carreras,Virtua Cop
82,New Zealand,ESTEREO,4,412,Salon 6,Virtua Cop
101,Estonia,MONO,4,430,Salon 3,Virtua Cop
111,Russia,MONO,3,858,Salon Carreras,Virtua Cop
118,China,MONO,1,264,Salon 4,Virtua Cop
